date,year,month,month_name,index_value,monthly_variation_pct,unit,frequency,source,source_url,fetched_at
2007-12-01,2007,12,Diciembre,100.0,,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-01-01,2008,1,Enero,103.1,3.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-02-01,2008,2,Febrero,105.3,2.1,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-03-01,2008,3,Marzo,107.1,1.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-04-01,2008,4,Abril,108.9,1.7,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-05-01,2008,5,Mayo,112.4,3.2,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-06-01,2008,6,Junio,115.1,2.4,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-07-01,2008,7,Julio,117.3,1.9,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-08-01,2008,8,Agosto,119.4,1.8,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
2008-09-01,2008,9,Septiembre,121.8,2.0,Índice base diciembre 2007=100 y variación mensual %,monthly,Banco Central de Venezuela,https://www.bcv.org.ve/sites/default/files/precios_consumidor/4_5_7_2.xls,2026-07-24T21:36:07Z
