Fuente;País;ID indicador CEPALSTAT;Indicador;Tema;Área;Ruta temática;Unidad;Número de registros;Primer periodo;Último periodo;Último valor disponible;Última actualización indicador;Estado descarga;Error descarga;Archivo valores CSV.GZ;Archivo catálogo JSON;Archivo catálogo Excel;URL API;URL fuente
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3946;Niveles medios anuales de partículas finas (ponderados por población), por ubicación (en microgramos por metro cúbico) EN_ATM_PM25;"Objetivos de Desarrollo Sostenible
";INDICADOR 11.6.2 Niveles medios anuales de partículas finas en suspensión (por ejemplo, PM2.5 y PM10) en las ciudades (ponderados según la población);Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Calidad ambiental > Calidad del aire;En microgramos por metro cúbico;50;2010;2019;16.21392;Jun  1 2026  6:16PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3946/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3968;Proporción de lugares importantes para la biodiversidad del agua dulce incluidos en zonas protegidas (en porcentajes) ER_PTD_FRHWTR;"Objetivos de Desarrollo Sostenible
";INDICADOR 15.1.2 Proporción de lugares importantes para la biodiversidad terrestre y del agua dulce incluidos en zonas protegidas, desglosada por tipo de ecosistema;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Biodiversidad;Porcentaje;26;2000;2025;85.42551;Jun  1 2026  5:57PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3968/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3963;Proporción de lugares importantes para la biodiversidad marina incluidos en zonas protegidas (en porcentajes) ER_MRN_MPA;"Objetivos de Desarrollo Sostenible
";INDICADOR 14.5.1 Cobertura de las zonas protegidas en relación con las zonas marinas;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Biodiversidad;Porcentaje;26;2000;2025;59.40429;Jun  1 2026  6:09PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3963/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3967;Proporción de lugares importantes para la biodiversidad terrestre incluidos en zonas protegidas (en porcentajes) ER_PTD_TERR;"Objetivos de Desarrollo Sostenible
";INDICADOR 15.1.2 Proporción de lugares importantes para la biodiversidad terrestre y del agua dulce incluidos en zonas protegidas, desglosada por tipo de ecosistema;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Biodiversidad;Porcentaje;26;2000;2025;78.78313;Jun  1 2026  6:10PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3967/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);3979;Índice de la Lista Roja ER_RSK_LST;"Objetivos de Desarrollo Sostenible
";INDICADOR 15.5.1 Índice de la Lista Roja;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Biodiversidad;Índice;46;1980;2025;0.7619;Jun  1 2026  6:16PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/3979/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2021;Superficie boscosa como proporción de la superficie total, por tipo de bosque;Estadísticas e Indicadores Ambientales;Bosques;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Bosques;Porcentajes;102;1990;2023;53.5;Dec  9 2025 10:25AM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2021/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2036;Superficie boscosa, por tipo de bosque;Estadísticas e Indicadores Ambientales;Bosques;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Bosques;Miles de hectáreas;108;1990;2025;47088.24;Dec  8 2025  4:46PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2036/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2530;Superficie de bosque natural como proporción de la superficie total de bosque;Estadísticas e Indicadores Ambientales;Bosques;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Bosques;Porcentajes;36;1990;2025;97.6;Dec  8 2025  5:11PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2530/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2531;Superficie de plantaciones forestales como proporción de la superficie total de bosque;Estadísticas e Indicadores Ambientales;Bosques;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Bosques;Porcentajes;36;1990;2025;2.4;Dec  8 2025  5:40PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2531/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
CEPALSTAT - CEPAL;Venezuela (República Bolivariana de);2016;Superficie de humedales designados bajo la Convención de Ramsar;Estadísticas e Indicadores Ambientales;Ecosistemas;Clasificación temática general > Ambientales > Condiciones y calidad ambiental > Cobertura terrestre, ecosistemas y biodiversidad > Cobertura terrestre;Hectáreas;38;1988;2025;265668.0;May 14 2026  3:12PM;Con datos;;assets/data/cepal/csv/ove_cepalstat_venezuela_valores.csv.gz;assets/data/cepal/catalog/cepal-catalog.json;assets/data/cepal/catalog/catalogo_dataset_web_ove_cepalstat.xlsx;https://api-cepalstat.cepal.org/cepalstat/api/v1/indicator/2016/data?lang=es&format=json&members=259&in=1&path=1;https://statistics.cepal.org/portal/cepalstat/open-data.html?lang=es
