Fuente;País;Frecuencia;Código indicador;Indicador;Tema;Base de datos;Dimensiones disponibles;Número de series;Número de registros;Primer periodo;Último periodo;Último periodo con dato;Último valor disponible;Última actualización OIT;Archivo datos comprimidos
OIT - ILOSTAT;Venezuela;Anual;CCF_XOXR_CUR_RT;Tipo de cambio oficial, UML por dólar estadounidense;Precios y factores de conversión;Precios, Costos y Conversiones de Moneda (PRICES);divisa;1;29;1989;2017;2017;9.975;06/08/2026 07:37:36;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CCF_XPPP_CUR_RT;Factor de conversión PPA para el consumo privado, unidades de moneda local por dólar internacional;Precios y factores de conversión;Precios, Costos y Conversiones de Moneda (PRICES);divisa;1;4;2008;2011;2011;0.0;30/08/2026 07:26:04;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_2POP_SEX_AGE_NB;Población infantil según sexo y edad -- estimaciones y proyecciones de la ONU, Julio 2024 (millares);Trabajo infantil;Estimaciones Modeladas por la OIT (ILOEST);sexo, edad;12;492;1990;2030;2030;6516.833;10/04/2026 10:03:27;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_TPOP_SEX_AGE_NB;Población infantil según sexo y edad (millares);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad;6;6;2017;2017;2017;1664.747;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_TPOP_SEX_AGE_STU_NB;Población infantil según sexo, edad y estado de la asistencia escolar (millares);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad, asistencia a la escuela o formación;24;24;2017;2017;2017;1664.747;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_XCHL_SEX_AGE_ECO_NB;Niños en trabajo infantil según sexo, edad y actividad económica (millares);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad, actividad económica;36;36;2017;2017;2017;114.424;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_XCHL_SEX_AGE_NB;Niños en trabajo infantil según sexo y edad (millares);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad;6;6;2017;2017;2017;114.424;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_XCHL_SEX_AGE_RT;Porcentaje de niños en trabajo infantil según sexo y edad (%);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad;6;6;2017;2017;2017;6.873;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_XCHL_SEX_AGE_STE_NB;Niños en trabajo infantil según sexo, edad y situación en la ocupación (millares);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad, situación en el empleo;42;42;2017;2017;2017;114.424;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
OIT - ILOSTAT;Venezuela;Anual;CLD_XCHL_SEX_AGE_STU_NB;Niños en trabajo infantil según sexo, edad y estado de la asistencia escolar (millares);Trabajo infantil;Estadísticas de Trabajo Infantil (CHILD);sexo, edad, asistencia a la escuela o formación;18;18;2017;2017;2017;114.424;11/08/2026 07:00:11;assets/data/ilo/csv/ove_oit_ilostat_venezuela_anual.csv.gz
