Fuente;País;Código indicador;Indicador;Descripción indicador;Unidad;Escala;Frecuencia;Número de registros;Primer periodo;Último periodo;Último valor disponible;Fecha actualización país;Archivo CSV;Archivo JSON;Archivo Excel
FMI - World Economic Outlook;Venezuela;BCA;Current account balance (credit less debit), US dollar;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;US dollar;9;Annual;48;1980;2027;5636468000.0;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;BCA_NGDPD;Current account balance (credit less debit), Percent of GDP;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.  Value expressed as a percent of the Gross Domestic Product (GDP) of a country. A ratio expressed as a fraction of 100.;Percent;0;Annual;48;1980;2027;4.78039;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGR;Revenue, General government, Domestic currency;Revenue refers to the total inflow of resources, typically in the form of taxes, fees, charges, grants, and other income, received by a government entity during a specific period. It represents the funds generated by the government through its various activities and sources, including taxation, sales of goods or services, investment income, and transfers from other entities.  Central, state, and local governments, including their agencies and departments. Currency issued by the country of origin, used internally. Used to specify what Unit of Measure the country used to provide data to the IMF.�;Domestic currency;9;Annual;8;2018;2025;2383134393000.0;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGR_NGDP;Revenue, General government, Percent of GDP;Revenue refers to the total inflow of resources, typically in the form of taxes, fees, charges, grants, and other income, received by a government entity during a specific period. It represents the funds generated by the government through its various activities and sources, including taxation, sales of goods or services, investment income, and transfers from other entities.  Central, state, and local governments, including their agencies and departments. Value expressed as a percent of the Gross Domestic Product (GDP) of a country. A ratio expressed as a fraction of 100.;Percent;0;Annual;38;1988;2025;14.452181;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGX;Expenditure, General government, Domestic currency;Expenditure refers to the total outflow of resources, including payments, purchases, and transfers, made by a government entity during a specific period to fulfill its various functions and obligations. It encompasses spending on goods and services, wages and salaries, social benefits, debt servicing, infrastructure investments, and other government programs and activities. Expenditure represents the utilization of government funds to provide public services, maintain infrastructure, implement policies, and meet financial obligations. Monitoring expenditure patterns and allocations provides insight into government priorities, policy objectives, and fiscal sustainability.  Central, state, and local governments, including their agencies and departments. Currency issued by the country of origin, used internally. Used to specify what Unit of Measure the country used to provide data to the IMF.�;Domestic currency;9;Annual;9;2017;2025;3346413772000.0;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGXCNL;Net lending (+) / net borrowing (-), General government, Domestic currency;Net lending is defined as the difference between changes in net worth due to saving and capital transfers and net acquisitions of non-financial assets (acquisitions less disposals of non-financial assets, less depreciation). If the amount is negative, it represents net borrowing. In the external accounts, it represents the sum of the balances on the current and capital accounts. This is conceptually  equal to the net balance of the financial account. If the balance is positive, it is called net lending, implying that in net terms, the economy supplies funds to the rest of the world. If the balance is negative, it is called net borrowing, implying that in net terms, the economy receives funds from the rest of the world.  Central, state, and local governments, including their agencies and departments. Currency issued by the country of origin, used internally. Used to specify what Unit of Measure the country used to provide data to the IMF.�;Domestic currency;9;Annual;8;2018;2025;-963279379000.0;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGXCNL_NGDP;Net lending (+) / net borrowing (-), General government, Percent of GDP;Net lending is defined as the difference between changes in net worth due to saving and capital transfers and net acquisitions of non-financial assets (acquisitions less disposals of non-financial assets, less depreciation). If the amount is negative, it represents net borrowing. In the external accounts, it represents the sum of the balances on the current and capital accounts. This is conceptually  equal to the net balance of the financial account. If the balance is positive, it is called net lending, implying that in net terms, the economy supplies funds to the rest of the world. If the balance is negative, it is called net borrowing, implying that in net terms, the economy receives funds from the rest of the world.  Central, state, and local governments, including their agencies and departments. Value expressed as a percent of the Gross Domestic Product (GDP) of a country. A ratio expressed as a fraction of 100.;Percent;0;Annual;38;1988;2025;-5.841671;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGXONLB;Primary net lending (+) / net borrowing (-), General government, Domestic currency;Primary net lending/borrowing refers to the difference between a government's total revenue (excluding borrowing) and its total expenditures (excluding debt repayments and interest payments). It represents the government's fiscal position, indicating whether it is running a surplus (positive value) or a deficit (negative value) before considering the impact of debt servicing costs.  Central, state, and local governments, including their agencies and departments. Currency issued by the country of origin, used internally. Used to specify what Unit of Measure the country used to provide data to the IMF.�;Domestic currency;9;Annual;8;2018;2025;-834225780000.0;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGXONLB_NGDP;Primary net lending (+) / net borrowing (-), General government, Percent of GDP;Primary net lending/borrowing refers to the difference between a government's total revenue (excluding borrowing) and its total expenditures (excluding debt repayments and interest payments). It represents the government's fiscal position, indicating whether it is running a surplus (positive value) or a deficit (negative value) before considering the impact of debt servicing costs.  Central, state, and local governments, including their agencies and departments. Value expressed as a percent of the Gross Domestic Product (GDP) of a country. A ratio expressed as a fraction of 100.;Percent;0;Annual;38;1988;2025;-5.059044;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
FMI - World Economic Outlook;Venezuela;GGXWDG;Gross debt, General government, Domestic currency;Gross debt is the sum of all liabilities that are debt instruments.  Debt instruments are financial instruments that require the payment of principal and/or interest at some point(s) in the future. Debt instruments consist of SDRs, currency and deposits, debt securities, loans, insurance technical reserves, pension and related entitlements, provision for calls under standardized guarantees, and other accounts receivable/payable.  Central, state, and local governments, including their agencies and departments. Currency issued by the country of origin, used internally. Used to specify what Unit of Measure the country used to provide data to the IMF.�;Domestic currency;9;Annual;9;2017;2025;50911791035000.0;9/16/2025;assets/data/imf/csv/ove_fmi_weo_venezuela.csv;assets/data/imf/json/ove_fmi_weo_venezuela.json;assets/data/imf/excel/ove_fmi_weo_venezuela.xlsx
