País;Código país;Indicador;Código indicador;Descripción indicador;Frecuencia;Periodo;Año;Valor;Unidad;Escala;Decimales;Tipo dato;Fecha actualización país;Fuente;URL fuente
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1980;1980;5175995000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1981;1981;4435994000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1982;1982;-3878000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1983;1983;4802989000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1984;1984;5045003000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1985;1985;3716993000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1986;1986;-1987006000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1987;1987;-1390000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1988;1988;-5539000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
Venezuela, República Bolivariana de;VEN;Current account balance (credit less debit), US dollar;BCA;The current account balance is the balance of current transactions (transactions in goods and services, earned income and transfer income) between residents and non-residents. The term current account balance is used in the external accounts and is expressed from the perspective of resident units. The term current external balance is used in the national accounts and is expressed from the perspective of the non-resident units, and therefore with the opposite sign.;Annual;1989;1989;2439000000.0;US dollar;9;3;Overlapping Indicator;9/16/2025;FMI - World Economic Outlook;https://data.imf.org/en/datasets/IMF.RES:WEO
