STRUCTURE[;],STRUCTURE_ID,ACTION,COUNTRY,INDICATOR,FREQUENCY,TIME_PERIOD,OBS_VALUE,SCALE,PRECISION,DECIMALS_DISPLAYED,FUNCTIONAL_CAT,INT_ACC_ITEM,NA_STO,GFS_STO,COICOP_1999,TRADE_FLOW,COMMODITY,SOC_CONCEPTS,SECTOR,ACCOUNTING_ENTRY,INDEX_TYPE,PRICES,STATISTICAL_MEASURES,EXRATE,TRANSFORMATION,UNIT,REPORTING_PERIOD_TYPE,DERIVATION_TYPE,OVERLAP,COUNTRY_UPDATE_DATE
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1980,5175995000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1981,4435994000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1982,-3878000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1983,4802989000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1984,5045003000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1985,3716993000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1986,-1987006000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1987,-1390000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1988,-5539000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1989,2439000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1990,8452000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1991,1924000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1992,-3753000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1993,-1992767000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1994,2623000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1995,2136000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1996,8989000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1997,3732000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1998,-4432000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,1999,2112000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,2000,11853000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,2001,1983000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
dataflow,IMF.RES:WEO(9.0.0),R,VEN,BCA,A,2002,7599000000,9,,3,,CAB,,,,,,,,,,,,,,USD,,,OL,9/16/2025
