indicator_id,indicator,area,source,source_url,frequency,period,date,year,value,unit
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1991,1991-01-01,1991,9.45,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1992,1992-01-01,1992,7.69,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1993,1993-01-01,1993,6.6,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1994,1994-01-01,1994,8.56,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1995,1995-01-01,1995,10.24,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1996,1996-01-01,1996,11.77,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1997,1997-01-01,1997,11.16,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1998,1998-01-01,1998,11.15,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,1999,1999-01-01,1999,14.53,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,2000,2000-01-01,2000,13.99,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,2001,2001-01-01,2001,13.04,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,2002,2002-01-01,2002,16.17,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,2003,2003-01-01,2003,16.78,% fuerza laboral
desempleo_total_wdi,Desempleo total,Mercado laboral,Banco Mundial - World Development Indicators,https://api.worldbank.org/v2/country/VEN/indicator/SL.UEM.TOTL.ZS?format=json&per_page=100,Anual,2004,2004-01-01,2004,15.07,% fuerza laboral
