Fuente;País;Título;Categoría;Tipo de recurso;Formato;Año publicación;Mes publicación;Archivo original;URL fuente;URL portal
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1909;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1909.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1909.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1910;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1910.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1910.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1911;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1911.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1911.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1912;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1912.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1912.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1938;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1938.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1938.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1942;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1942.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1942.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1943;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1943.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1943.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 1944;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1944.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1944.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuario Estadístico 2003;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-2003.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-2003.pdf;https://ine.gob.ve/
INE Venezuela - Instituto Nacional de Estadística;Venezuela;Anuarios Estadísticos 1940;Anuarios;Documento;PDF;2026;mayo;ANUARIO-ESTADISTICO-DE-VENEZUELA-1940.pdf;https://ine.gob.ve/wp-content/uploads/2026/05/ANUARIO-ESTADISTICO-DE-VENEZUELA-1940.pdf;https://ine.gob.ve/
