ID recurso;Título;Categoría;Formato;URL fuente;Hoja;Filas detectadas;Columnas detectadas;Celdas con valor;Estado extracción;Error
estado_amazonas_censo_2001_y_2011_1;Amazonas 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Amazonas-Censo-2001-y-2011-1.xls;Por Variables;35;12;204;OK;
estado_amazonas_censo_2001_y_2011;Amazonas 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Amazonas-Censo-2001-y-2011.xls;Pobres y Extremos;34;11;186;OK;
estado_anzoategui_censo_2001_y_2011_1;Anzoátegui 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Anzoategui-Censo-2001-y-2011-1.xls;Por Vriables;63;12;512;OK;
estado_anzoategui_censo_2001_y_2011;Anzoátegui 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Anzoategui-Censo-2001-y-2011.xls;Pobres y Extremos;63;11;466;OK;
estado_apure_censo_2001_y_2011_1;Apure 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Apure-Censo-2001-y-2011-1.xls;Por Variables;35;12;204;OK;
estado_apure_censo_2001_y_2011;Apure 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Apure-Censo-2001-y-2011.xls;Pobres y Extremos;34;11;186;OK;
estado_aragua_censo_2001_y_2011;Aragua 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Aragua-Censo-2001-y-2011.xls;Por Variables;57;12;446;OK;
estado_barinas_censo_2001_y_2011;Barinas 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Barinas-Censo-2001-y-2011.xls;Pobres y Extremos;45;11;286;OK;
estado_bolivar_censo_2001_y_2011_1;Bolívar 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Bolivar-Censo-2001-y-2011-1.xls;Por Variables;43;12;292;OK;
estado_bolivar_censo_2001_y_2011;Bolívar 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Bolivar-Censo-2001-y-2011.xls;Pobres y Extremos;43;11;266;OK;
estado_carabobo_censo_2001_y_2011_1;Carabobo 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Carabobo-Censo-2001-y-2011-1.xls;Por Variables;49;12;358;OK;
estado_carabobo_censo_2001_y_2011;Carabobo 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Carabobo-Censo-2001-y-2011.xls;Pobres y Extremos;49;11;326;OK;
estado_cojedes_censo_2001_y_2011_1;Cojedes 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Cojedes-Censo-2001-y-2011-1.xls;Por Variables;39;12;248;OK;
estado_cojedes_censo_2001_y_2011;Cojedes 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Cojedes-Censo-2001-y-2011.xls;Pobres y Extremos;38;11;226;OK;
estado_delta_amacuro_censo_2001_y_2011_1;Delta Amacuro 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Delta-Amacuro-Censo-2001-y-2011-1.xls;Por Variables;29;12;138;OK;
estado_delta_amacuro_censo_2001_y_2011;Delta Amacuro 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Delta-Amacuro-Censo-2001-y-2011.xls;Pobres y Extremos;29;11;126;OK;
dependencias_federales_censo_2001_y_2011_1;Dep. Federales;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Dependencias-Federales-Censo-2001-y-2011-1.xls;Por Variables;28;12;116;OK;
dependencias_federales_censo_2001_y_2011;Dep. Federales 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Dependencias-Federales-Censo-2001-y-2011.xls;Pobres y Extremos;26;11;106;OK;
distrito_capital_censo_2001_y_2011_1;Distr. Capital 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Distrito-Capital-Censo-2001-y-2011-1.xls;Por Variables;64;12;534;OK;
distrito_capital_censo_2001_y_2011;Distr. Capital 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Distrito-Capital-Censo-2001-y-2011.xls;POBREZA;65;11;486;OK;
estado_falcon_censo_2001_y_2011_1;Falcón 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Falcon-Censo-2001-y-2011-1.xls;Por Variables;71;12;600;OK;
estado_falcon_censo_2001_y_2011;Falcón 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Falcon-Censo-2001-y-2011.xls;Pobres y Extremos;73;11;546;OK;
estado_guarico_censo_2001_y_2011_1;Guárico 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Guarico-Censo-2001-y-2011-1.xls;Por Variables;51;12;380;OK;
estado_guarico_censo_2001_y_2011;Guárico 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Guarico-Censo-2001-y-2011.xls;Pobres y Extremos;53;11;346;OK;
estado_la_guaira_censo_2001_y_2011_1;La Guaira 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-La-Guaira-Censo-2001-y-2011-1.xls;Por Variables;44;12;292;OK;
estado_la_guaira_censo_2001_y_2011;La Guaira 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-La-Guaira-Censo-2001-y-2011.xls;Pobres y Extremos;44;11;266;OK;
estado_lara_censo_2001_y_2011_1;Lara 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Lara-Censo-2001-y-2011-1.xls;Por Variables;39;12;248;OK;
estado_lara_censo_2001_y_2011;Lara 2001-2011;Censo 2001-2011;XLS;https://ine.gob.ve/wp-content/uploads/2026/04/Estado-Lara-Censo-2001-y-2011.xls;Pobres y Extremos;39;11;226;OK;
