tema_ove,subarea_ove,fuente,codigo,indicador,indicador_original,idioma_indicador,traduccion_indicador,tema_origen,subtema_origen,ruta_origen,frecuencia,primer_periodo,ultimo_periodo,registros,registros_con_valor,ultimo_valor,estado,confianza_clasificacion,criterio_clasificacion,confianza_subarea,criterio_subarea,excel,download_estado,download_id,archivo_origen
Demografía y población,Migración y movilidad,Banco Mundial - WDI,SM.POP.NETM,Migración neta,Migración neta,es,ya estaba en español,Demografía,Migración,Demografía > Migración,Anual,1960,2025,66,66,-100467.0,Con datos,alta,demografía/población,alta,migración/movilidad,/api/indicator-excel?id=banco-mundial-wdi__sm-pop-netm__anual__migracion-neta,datos_indicador,banco-mundial-wdi__sm-pop-netm__anual__migracion-neta,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Población,Banco Mundial - WDI,SP.DYN.LE00.FE.IN,Esperanza de vida femenina,Esperanza de vida femenina,es,ya estaba en español,Demografía,Esperanza de vida,Demografía > Esperanza de vida,Anual,1960,2024,66,65,76.655,Con datos,alta,demografía/población,media,población/estructura demográfica,/api/indicator-excel?id=banco-mundial-wdi__sp-dyn-le00-fe-in__anual__esperanza-de-vida-femenina,datos_indicador,banco-mundial-wdi__sp-dyn-le00-fe-in__anual__esperanza-de-vida-femenina,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Población,Banco Mundial - WDI,SP.DYN.LE00.IN,Esperanza de vida al nacer,Esperanza de vida al nacer,es,ya estaba en español,Demografía,Esperanza de vida,Demografía > Esperanza de vida,Anual,1960,2024,66,65,72.673,Con datos,alta,demografía/población,media,población/estructura demográfica,/api/indicator-excel?id=banco-mundial-wdi__sp-dyn-le00-in__anual__esperanza-de-vida-al-nacer,datos_indicador,banco-mundial-wdi__sp-dyn-le00-in__anual__esperanza-de-vida-al-nacer,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Población,Banco Mundial - WDI,SP.DYN.LE00.MA.IN,Esperanza de vida masculina,Esperanza de vida masculina,es,ya estaba en español,Demografía,Esperanza de vida,Demografía > Esperanza de vida,Anual,1960,2024,66,65,68.885,Con datos,alta,demografía/población,media,población/estructura demográfica,/api/indicator-excel?id=banco-mundial-wdi__sp-dyn-le00-ma-in__anual__esperanza-de-vida-masculina,datos_indicador,banco-mundial-wdi__sp-dyn-le00-ma-in__anual__esperanza-de-vida-masculina,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Natalidad y mortalidad,Banco Mundial - WDI,SP.DYN.TFRT.IN,Tasa de fertilidad,Tasa de fertilidad,es,ya estaba en español,Demografía,Fecundidad,Demografía > Fecundidad,Anual,1960,2024,66,65,2.077,Con datos,alta,demografía/población,alta,estadísticas vitales,/api/indicator-excel?id=banco-mundial-wdi__sp-dyn-tfrt-in__anual__tasa-de-fertilidad,datos_indicador,banco-mundial-wdi__sp-dyn-tfrt-in__anual__tasa-de-fertilidad,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Población,Banco Mundial - WDI,SP.POP.GROW,Crecimiento anual de la población,Crecimiento anual de la población,es,ya estaba en español,Demografía,Población,Demografía > Población,Anual,1961,2025,66,65,0.39124515392802,Con datos,alta,demografía/población,media,población/estructura demográfica,/api/indicator-excel?id=banco-mundial-wdi__sp-pop-grow__anual__crecimiento-anual-de-la-poblacion,datos_indicador,banco-mundial-wdi__sp-pop-grow__anual__crecimiento-anual-de-la-poblacion,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Población,Banco Mundial - WDI,SP.POP.TOTL,Población total,Población total,es,ya estaba en español,Demografía,Población,Demografía > Población,Anual,1960,2025,66,66,28516896.0,Con datos,alta,demografía/población,media,población/estructura demográfica,/api/indicator-excel?id=banco-mundial-wdi__sp-pop-totl__anual__poblacion-total,datos_indicador,banco-mundial-wdi__sp-pop-totl__anual__poblacion-total,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Demografía y población,Población,Banco Mundial - WDI,SP.URB.TOTL.IN.ZS,Población urbana como porcentaje del total,Población urbana como porcentaje del total,es,ya estaba en español,Demografía,Población urbana,Demografía > Población urbana,Anual,1960,2025,66,66,89.3219112298988,Con datos,alta,demografía/población,media,población/estructura demográfica,/api/indicator-excel?id=banco-mundial-wdi__sp-urb-totl-in-zs__anual__poblacion-urbana-como-porcentaje-del-total,datos_indicador,banco-mundial-wdi__sp-urb-totl-in-zs__anual__poblacion-urbana-como-porcentaje-del-total,assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv
Sociedad,Participación y comunidad,Banco Mundial - WDI,SE.ADT.LITR.ZS,Tasa de alfabetización adulta,Tasa de alfabetización adulta,es,ya estaba en español,Educación,Alfabetización,Educación > Alfabetización,Anual,1981,2017,66,14,97.1837183128414,Con datos,media,sociedad/educación/salud/género/instituciones,media,participación/comunidad por defecto del tema,/api/indicator-excel?id=banco-mundial-wdi__se-adt-litr-zs__anual__tasa-de-alfabetizacion-adulta,datos_indicador,banco-mundial-wdi__se-adt-litr-zs__anual__tasa-de-alfabetizacion-adulta,assets/data/world-bank/csv/ove_banco_mundial_venezuela_educacion.csv
Sociedad,Participación y comunidad,Banco Mundial - WDI,SE.PRM.ENRR,Tasa bruta de escolarización primaria,Tasa bruta de escolarización primaria,es,ya estaba en español,Educación,Escolarización,Educación > Escolarización,Anual,1971,2024,66,47,113.693878173828,Con datos,media,sociedad/educación/salud/género/instituciones,media,participación/comunidad por defecto del tema,/api/indicator-excel?id=banco-mundial-wdi__se-prm-enrr__anual__tasa-bruta-de-escolarizacion-primaria,datos_indicador,banco-mundial-wdi__se-prm-enrr__anual__tasa-bruta-de-escolarizacion-primaria,assets/data/world-bank/csv/ove_banco_mundial_venezuela_educacion.csv
