Fuente;País;Reporte UNCTAD;ID reporte;Título reporte;Categoría;Ruta temática;Palabras clave;Última actualización reporte;Número de archivos bulk;Archivos procesados;Archivos omitidos por tamaño;Tamaño bulk total bytes;Número de registros;Primer periodo;Último periodo;Estado descarga;Error descarga;Archivo valores CSV.GZ;Archivo catálogo JSON;Archivo catálogo Excel;URL fuente
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.DigitallyDeliverableServices;1948;Digitally deliverable services: Trade – Annual (analytical);Information economy;Digital economy and technology > Digital economy;digital, digitally, deliverable, information, communication, technology, services, exports, imports, trade;2025-09-26T12:02:00;1;1;0;1525091;577;2010;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.TradeServICT;1922;ICT services: Trade – Annual;Information economy;Digital economy and technology > Digital economy;"ICT, information, communication, technology, services, exports, imports, trade;";2025-09-26T12:05:00;1;1;0;141178;94;2005;2020;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.FTRI;1861;Frontier technology readiness index, annual (analytical);Technology and innovation;Digital economy and technology > Technology and innovation;ICT, skills, information, communication, industry, technology;2025-07-18T16:34:00;1;1;0;62747;84;2010;2023;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.Cpi_A;2553;Consumer price indices, annual (analytical);Economic trends;Economy, investment and finance > Inflation and exchange rates;Consumer Price Indices, CPI;2026-08-28T08:04:00;1;1;0;81423;91;1980;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.ExchangeRateCrosstab;2362;Exchange rates: Currency cross rates - Annual;Economic trends;Economy, investment and finance > Inflation and exchange rates;exchange, rate, currency;2026-05-29T14:04:00;1;1;0;18056762;23205;1970;2024;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.CurrAccBalance;1951;Balance of payments, Current account balance, annual;Economic trends;Economy, investment and finance > Investment and balance of payments;Balance of payments, current account balance;2025-09-23T13:48:00;1;1;0;120600;74;1980;2016;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.GoodsAndServicesBpm6;2210;Balance of payments: Goods and services trade - Annual;International trade in goods and services;Economy, investment and finance > Investment and balance of payments;trade, goods, services;2026-04-09T07:52:00;1;1;0;362860;174;2005;2021;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.GoodsAndServBalanceBpm6;2211;Balance of payments: Goods and services trade balance indicators - Annual;International trade in goods and services;Economy, investment and finance > Investment and balance of payments;Trade, indicators, balances;2026-04-09T07:52:00;1;1;0;305732;180;2005;2021;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.GoodsAndServTradeOpennessBpm6;2209;Balance of payments: Goods and services trade openness indicators - Annual;International trade in goods and services;Economy, investment and finance > Investment and balance of payments;Trade, Indicators, Exports, Imports;2026-04-09T07:52:00;1;1;0;859488;360;2005;2021;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
UNCTADstat - UNCTAD;Venezuela (Bolivarian Rep. of);US.FdiFlowsStock;2559;Foreign direct investment: Inward and outward flows and stock, annual;Foreign direct investment;Economy, investment and finance > Investment and balance of payments;foreign, direct, investment, flow, stock, inward, outward, FDI;2026-08-17T12:15:00;1;1;0;676265;576;1990;2025;Con valores para Venezuela;;assets/data/unctad/csv/ove_unctadstat_venezuela_valores.csv.gz;assets/data/unctad/catalog/unctad-catalog.json;assets/data/unctad/catalog/catalogo_dataset_web_ove_unctadstat.xlsx;https://unctadstat.unctad.org/datacentre/
