Fuente;Reporte UNCTAD;Título reporte;Archivo bulk;Nombre archivo;Tamaño bytes;Estado;Registros extraídos;Valores extraídos;URL bulk
UNCTADstat - UNCTAD;US.TradeMerchTotal;Merchandise: Total trade and share, annual;US_TradeMerchTotal;From 1948 to 2025;424083;Procesado;156;312;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMerchTotal/US_TradeMerchTotal
UNCTADstat - UNCTAD;US.TradeMerchGR;Merchandise: Total trade growth rates, annual;US_TradeMerchGR;The whole dataset;214725;Procesado;104;104;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMerchGR/US_TradeMerchGR
UNCTADstat - UNCTAD;US.TradeMerchBalance;Merchandise: Trade balance, annual;US_TradeMerchBalance;From 1948 to 2025;235857;Procesado;78;156;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMerchBalance/US_TradeMerchBalance
UNCTADstat - UNCTAD;US.MerchVolumeQuarterly;Merchandise: Trade volume - Growth rates - Quarterly (analytical);US_MerchVolumeQuarterly;From 2005 to 2026;639637;Procesado;170;838;https://unctadstat-api.unctad.org/bulkdownload/US.MerchVolumeQuarterly/US_MerchVolumeQuarterly
UNCTADstat - UNCTAD;US.TradeMatrix;Merchandise: Trade matrix - Annual (analytical);US_TradeMatrix_19952000;From 1995 to 2000;1768893604;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMatrix/US_TradeMatrix_19952000
UNCTADstat - UNCTAD;US.TradeMatrix;Merchandise: Trade matrix - Annual (analytical);US_TradeMatrix_20012005;From 2001 to 2005;1679341616;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMatrix/US_TradeMatrix_20012005
UNCTADstat - UNCTAD;US.TradeMatrix;Merchandise: Trade matrix - Annual (analytical);US_TradeMatrix_20062010;From 2006 to 2010;1811298102;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMatrix/US_TradeMatrix_20062010
UNCTADstat - UNCTAD;US.TradeMatrix;Merchandise: Trade matrix - Annual (analytical);US_TradeMatrix_20112015;From 2011 to 2015;1855996657;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMatrix/US_TradeMatrix_20112015
UNCTADstat - UNCTAD;US.TradeMatrix;Merchandise: Trade matrix - Annual (analytical);US_TradeMatrix_20162020;From 2016 to 2020;1903921630;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMatrix/US_TradeMatrix_20162020
UNCTADstat - UNCTAD;US.TradeMatrix;Merchandise: Trade matrix - Annual (analytical);US_TradeMatrix_20212025;From 2021 to 2025;1969662401;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeMatrix/US_TradeMatrix_20212025
UNCTADstat - UNCTAD;US.TermsOfTrade;Merchandise: Trade - Core indices - Annual (analytical);US_TermsOfTrade;From 2005 to 2025;304595;Procesado;168;126;https://unctadstat-api.unctad.org/bulkdownload/US.TermsOfTrade/US_TermsOfTrade
UNCTADstat - UNCTAD;US.IntraTrade;Merchandise: Intra-trade and extra-trade of country groups by product, annual (analytical);US_IntraTrade;From 1995 to 2025;64011500;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.IntraTrade/US_IntraTrade
UNCTADstat - UNCTAD;US.TradePriceIndices_Q;Merchandise: Trade price index – Quarterly (analytical);US_TradePriceIndices_Q;From 2005 to 2026;114018;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradePriceIndices_Q/US_TradePriceIndices_Q
UNCTADstat - UNCTAD;US.ConcentDiversIndices;Merchandise: Standard product concentration and diversification indices - Annual (analytical);US_ConcentDiversIndices;From 1995 to 2025;189457;Procesado;62;186;https://unctadstat-api.unctad.org/bulkdownload/US.ConcentDiversIndices/US_ConcentDiversIndices
UNCTADstat - UNCTAD;US.ConcentStructIndices;Merchandise: Market concentration and structural change indices - Annual (analytical);US_ConcentStructIndices;From 1995 to 2025;210324;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.ConcentStructIndices/US_ConcentStructIndices
UNCTADstat - UNCTAD;US.RCA;Merchandise: Revealed Comparative Advantage index - Annual (analytical);US_RCA;From 1995 to 2025;8931393;Procesado;7772;7772;https://unctadstat-api.unctad.org/bulkdownload/US.RCA/US_RCA
UNCTADstat - UNCTAD;US.Tariff;Merchandise: Import tariff rates - Annual;US_Tariff;From 2000 to 2023;1484011;Procesado;1084;2168;https://unctadstat-api.unctad.org/bulkdownload/US.Tariff/US_Tariff
UNCTADstat - UNCTAD;US.MerchTheilIndices;Merchandise: Theil concentration indices - Annual (analytical);US_MerchTheilIndices;From 1995 to 2024;353039;Procesado;180;180;https://unctadstat-api.unctad.org/bulkdownload/US.MerchTheilIndices/US_MerchTheilIndices
UNCTADstat - UNCTAD;US.GSTP_TradeMatrix;GSTP: Merchandise trade matrix - Annual (analytical);US_GSTP_TradeMatrix;From 1995 to 2025;371715547;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.GSTP_TradeMatrix/US_GSTP_TradeMatrix
UNCTADstat - UNCTAD;US.TotAndComServicesQuarterly;Services: Trade by main category - Quarterly;US_TotAndComServicesQuarterly;From 2005 to 2026;4997704;Procesado;1750;3610;https://unctadstat-api.unctad.org/bulkdownload/US.TotAndComServicesQuarterly/US_TotAndComServicesQuarterly
UNCTADstat - UNCTAD;US.TradeServCatTotal;Services: Trade by category - Annual;US_TradeServCatTotal;From 2005 to 2025;10102418;Procesado;2949;4793;https://unctadstat-api.unctad.org/bulkdownload/US.TradeServCatTotal/US_TradeServCatTotal
UNCTADstat - UNCTAD;US.TradeServCatByPartner;Services: Bilateral trade by category - Annual;US_TradeServCatByPartner;From 2005 to 2025;85648480;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeServCatByPartner/US_TradeServCatByPartner
UNCTADstat - UNCTAD;US.CreativeGoodsValue;Creative goods matrix, annual (analytical);US_CreativeGoodsValue;From 2002 to 2024;335041684;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeGoodsValue/US_CreativeGoodsValue
UNCTADstat - UNCTAD;US.CreativeGoodsGR;Creative goods matrix, growth rates, annual (analytical);US_CreativeGoodsGR;The whole dataset;196623315;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeGoodsGR/US_CreativeGoodsGR
UNCTADstat - UNCTAD;US.CreativeServ_Indiv_Tot;International trade in creative services: estimates for individual economies (analytical);US_CreativeServ_Indiv_Tot;From 2010 to 2024;62133;Procesado;30;14;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeServ_Indiv_Tot/US_CreativeServ_Indiv_Tot
UNCTADstat - UNCTAD;US.CreativeServ_Group_E;Creative services exports of selected groups of economies (analytical);US_CreativeServ_Group_E;From 2010 to 2024;15132;Procesado;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CreativeServ_Group_E/US_CreativeServ_Group_E
UNCTADstat - UNCTAD;US.CriticalMinerals_TradeByPart;Critical minerals: Bilateral trade by product group - Annual (analytical);US_CriticalMinerals_TradeByPart;From 2002 to 2024;544826561;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.CriticalMinerals_TradeByPart/US_CriticalMinerals_TradeByPart
UNCTADstat - UNCTAD;US.TradeFoodCatByProc;Trade by food category, detailed by food processing (analytical);US_TradeFoodCatByProc_19952009;From 1995 to 2009;1242404356;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodCatByProc/US_TradeFoodCatByProc_19952009
UNCTADstat - UNCTAD;US.TradeFoodCatByProc;Trade by food category, detailed by food processing (analytical);US_TradeFoodCatByProc_20102023;From 2010 to 2023;1340230133;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodCatByProc/US_TradeFoodCatByProc_20102023
UNCTADstat - UNCTAD;US.TradeFoodProcCat_Cat_RCA;Trade by food category, detailed by food processing, RCA (analytical);US_TradeFoodProcCat_Cat_RCA;From 1995 to 2023;3467211;Procesado;2589;2589;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcCat_Cat_RCA/US_TradeFoodProcCat_Cat_RCA
UNCTADstat - UNCTAD;US.TradeFoodProcByCat;Trade by food processing, detailed by food category (analytical);US_TradeFoodProcByCat_19952009;From 1995 to 2009;1099284426;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcByCat/US_TradeFoodProcByCat_19952009
UNCTADstat - UNCTAD;US.TradeFoodProcByCat;Trade by food processing, detailed by food category (analytical);US_TradeFoodProcByCat_20102023;From 2010 to 2023;1185807554;Omitido por tamaño > 20971520 bytes;0;0;https://unctadstat-api.unctad.org/bulkdownload/US.TradeFoodProcByCat/US_TradeFoodProcByCat_20102023
