Área temática;ID área;Registros;Indicadores;Primer año;Último año;Último año con dato;Archivo CSV;Archivo JSON;Archivo Excel
Demografía;demografia;528;8;1960;2025;2025;assets/data/world-bank/csv/ove_banco_mundial_venezuela_demografia.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_demografia.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_demografia.xlsx
Educación;educacion;333;5;1960;2026;2017;assets/data/world-bank/csv/ove_banco_mundial_venezuela_educacion.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_educacion.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_educacion.xlsx
Energía y ambiente;energia_y_ambiente;334;5;1960;2026;2014;assets/data/world-bank/csv/ove_banco_mundial_venezuela_energia_y_ambiente.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_energia_y_ambiente.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_energia_y_ambiente.xlsx
Género;genero;331;5;1960;2026;2025;assets/data/world-bank/csv/ove_banco_mundial_venezuela_genero.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_genero.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_genero.xlsx
Infraestructura y digitalización;infraestructura_y_digitalizacion;264;4;1960;2025;2024;assets/data/world-bank/csv/ove_banco_mundial_venezuela_infraestructura_y_digitalizacion.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_infraestructura_y_digitalizacion.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_infraestructura_y_digitalizacion.xlsx
Macroeconomía;macroeconomia;666;10;1960;2026;2025;assets/data/world-bank/csv/ove_banco_mundial_venezuela_macroeconomia.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_macroeconomia.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_macroeconomia.xlsx
Mercado laboral;mercado_laboral;662;10;1960;2026;2025;assets/data/world-bank/csv/ove_banco_mundial_venezuela_mercado_laboral.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_mercado_laboral.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_mercado_laboral.xlsx
Pobreza y desigualdad;pobreza_y_desigualdad;331;5;1960;2026;2015;assets/data/world-bank/csv/ove_banco_mundial_venezuela_pobreza_y_desigualdad.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_pobreza_y_desigualdad.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_pobreza_y_desigualdad.xlsx
Precios e inflación;precios_e_inflacion;467;7;1960;2026;2025;assets/data/world-bank/csv/ove_banco_mundial_venezuela_precios_e_inflacion.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_precios_e_inflacion.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_precios_e_inflacion.xlsx
Salud;salud;463;7;1960;2026;2024;assets/data/world-bank/csv/ove_banco_mundial_venezuela_salud.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_salud.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_salud.xlsx
Sector externo;sector_externo;602;9;1960;2026;2025;assets/data/world-bank/csv/ove_banco_mundial_venezuela_sector_externo.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_sector_externo.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_sector_externo.xlsx
Sector público e instituciones;sector_publico_e_instituciones;268;4;1960;2026;;assets/data/world-bank/csv/ove_banco_mundial_venezuela_sector_publico_e_instituciones.csv;assets/data/world-bank/json/ove_banco_mundial_venezuela_sector_publico_e_instituciones.json;assets/data/world-bank/excel/ove_banco_mundial_venezuela_sector_publico_e_instituciones.xlsx
