País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,03970000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,10800000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,17110000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,24140000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,30750000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,37480000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,48470000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,53770000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,58280000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,55410000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1970;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,67830000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1971;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,71590000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1972;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,76250000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1973;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,79310000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1974;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,84940000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1975;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,90380000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1976;Demografía;demografia;Esperanza de vida;esperanza_de_vida;SP.DYN.LE00.FE.IN;Esperanza de vida femenina;6,96080000000000e+01;Banco Mundial - World Development Indicators;2026-05-21;
