País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1970;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1971;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,023540019989010;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1972;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,021139979362490;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1973;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,019960045814510;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1974;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,018849968910220;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1975;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,016370058059690;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1976;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,012760043144230;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1977;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,009410023689270;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1978;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,011350035667420;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1979;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,012709975242610;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1980;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,011680006980900;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1981;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1982;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1983;Género;genero;Educación;educacion;SE.ENR.PRIM.FM.ZS;Ratio niñas-niños en educación primaria;1,033169984817500;Banco Mundial - World Development Indicators;2026-05-21;
