País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1970;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1971;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1972;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1973;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1974;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1975;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1976;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1977;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1978;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1979;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1980;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1981;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1982;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1983;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1984;Mercado laboral;mercado_laboral;Empleo sectorial;empleo_sectorial;SL.AGR.EMPL.ZS;Empleo en agricultura como porcentaje del empleo total;;Banco Mundial - World Development Indicators;2026-07-27;
