País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1970;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1971;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1972;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1973;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1974;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1975;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1976;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1977;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1978;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1979;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1980;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1981;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;55,6;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1982;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1983;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1984;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1985;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1986;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1987;Pobreza y desigualdad;pobreza_y_desigualdad;Desigualdad;desigualdad;SI.POV.GINI;Índice de Gini;53,4;Banco Mundial - World Development Indicators;2026-05-21;
