País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;2,01373056169029e+00;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;6,65054138461514e-01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;4,91982977988805e+00;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;-3,66502858122303e-01;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;2,16720883620482e+00;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;2,64492682981717e+00;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;2,43422682068071e+00;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;1,06509902850259e+00;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Precios e inflación;precios_e_inflacion;Deflactor;deflactor;NY.GDP.DEFL.KD.ZG;Inflación medida por el deflactor del PIB;1,77946177900662e+00;Banco Mundial - World Development Indicators;2026-05-21;
