País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1970;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1971;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1972;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1973;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1974;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1975;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1976;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1977;Salud;salud;Gasto sanitario;gasto_sanitario;SH.XPD.CHEX.GD.ZS;Gasto corriente en salud como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
