País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1970;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-1,04000000000000e+08;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1971;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-1,10000000000000e+07;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1972;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-1,01000000000000e+08;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1973;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;8,77000000000000e+08;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1974;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;5,76000000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1975;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;2,17100000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1976;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;2,54000000000000e+08;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1977;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-3,17900000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1978;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-5,73500000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1979;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;3,50000000000000e+08;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1980;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;4,72800000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1981;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;4,00000000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1982;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-4,24600000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1983;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;4,42700000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1984;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;4,65100000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1985;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;3,32700000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1986;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-2,24500000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1987;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-1,39000000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1988;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-5,80900000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1989;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;2,16100000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1990;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;8,27900000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1991;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;1,73600000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1992;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-3,74900000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1993;Sector externo;sector_externo;Balanza de pagos;balanza_de_pagos;BN.CAB.XOKA.CD;Balanza por cuenta corriente en dólares corrientes;-1,99300000000000e+09;Banco Mundial - World Development Indicators;2026-05-21;
