País OVE;País Banco Mundial;Código ISO 2;Código ISO 3;Región;Nivel de ingreso;Año;Área temática;ID área;Subárea;ID subárea;Código indicador;Indicador;Valor;Fuente;Fecha descarga;Error descarga
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1960;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1961;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1962;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1963;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1964;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1965;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1966;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1967;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1968;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
Venezuela;Venezuela, RB;VE;VEN;Latin America & Caribbean;Not classified;1969;Sector público e instituciones;sector_publico_e_instituciones;Deuda pública;deuda_publica;GC.DOD.TOTL.GD.ZS;Deuda del gobierno central como porcentaje del PIB;;Banco Mundial - World Development Indicators;2026-05-21;
